job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
72,"""Data Entry Specialist""","""Sydney, Australia""",null,"""$3,000 - $5,000 per month""",null,"""URGENT HIRING: International Customer Support. Work from home. Training provided for free, but you must purchase the 'Employee Starter Kit' for $200 from our approved vendor.""","""Fluent English. Reliable internet. Payments via Western Union only.""",null,1,0,0,"""Part-time""","""No Experience Required""","""Bachelor's Degree""","""Marketing""","""Finance""",1
73,"""Online Processing Agent""","""New York, USA""",null,"""80,000 - 120,000 PKR""",null,"""We are looking for an office assistant to manage schedules. Due to high volume of applicants, we only interview via WhatsApp. Contact +923xx-xxxxxxx immediately.""","""No experience needed. Must provide CNIC copy and bank login details for background verification check.""",null,0,1,0,"""Contract""","""Entry level""","""High School""","""Logistics""","""Consulting""",1
74,"""Online Processing Agent""","""London, United Kingdom""",null,"""$3,000 - $5,000 per month""",null,"""URGENT HIRING: International Customer Support. Work from home. Training provided for free, but you must purchase the 'Employee Starter Kit' for $200 from our approved vendor.""","""Fluent English. Reliable internet. Payments via Western Union only.""",null,0,1,1,"""Part-time""","""Entry level""","""Unspecified""","""Information Technology""","""Data Entry""",1
75,"""Account Manager Trainee""","""Rawalpindi, Pakistan""",null,"""$3,000 - $5,000 per month""",null,"""URGENT HIRING: International Customer Support. Work from home. Training provided for free, but you must purchase the 'Employee Starter Kit' for $200 from our approved vendor.""","""Fluent English. Reliable internet. Payments via Western Union only.""",null,1,0,1,"""Full-time""","""Internship""","""Bachelor's Degree""","""Administrative""","""Consulting""",1
76,"""Crypto Exchange Assistant""","""New York, USA""",null,"""$3,000 - $5,000 per month""",null,"""URGENT HIRING: International Customer Support. Work from home. Training provided for free, but you must purchase the 'Employee Starter Kit' for $200 from our approved vendor.""","""Fluent English. Reliable internet. Payments via Western Union only.""",null,0,1,0,"""Part-time""","""Internship""","""High School""","""Logistics""","""Data Entry""",1
77,"""Junior Administrative Assistant""","""Multan, Pakistan""",null,"""150,000 - 300,000 PKR per month""",null,"""Join our fast-growing international team. We need someone to process local payments from our clients. You will receive funds and forward them to our main office via crypto or bank transfer. Highly profitable commission based.""","""Must have an active bank account and CNIC. Willingness to handle large transactions. Fast communication via Telegram or WhatsApp required.""",null,0,1,1,"""Part-time""","""No Experience Required""","""High School""","""Information Technology""","""Finance""",1
78,"""Junior Administrative Assistant""","""Lahore, Pakistan""",null,"""200,000 PKR""",null,"""Receive and ship packages for our global e-commerce brand. All expenses paid. You just need to inspect the items and forward them to the provided addresses.""","""Must have physical space to store items. Confidentiality is key. Reach out on Telegram @HR_Recruiter_Global.""",null,0,1,0,"""Part-time""","""No Experience Required""","""Unspecified""","""Marketing""","""Customer Service""",1
79,"""Crypto Exchange Assistant""","""Sialkot, Pakistan""",null,"""$3,000 - $5,000 per month""",null,"""URGENT HIRING: International Customer Support. Work from home. Training provided for free, but you must purchase the 'Employee Starter Kit' for $200 from our approved vendor.""","""Fluent English. Reliable internet. Payments via Western Union only.""",null,0,0,1,"""Contract""","""Internship""","""Bachelor's Degree""","""Information Technology""","""Consulting""",1
80,"""Junior Administrative Assistant""","""Islamabad, Pakistan""",null,"""100,000 - 150,000 PKR""",null,"""Simple data entry work for a multinational firm. You can work from home 2 hours a day and earn a full-time salary. We are hiring 50 people urgently.""","""Basic computer knowledge. To start, you must pay a 5,000 PKR security deposit for the software license which is refundable after first month.""",null,1,1,1,"""Full-time""","""Internship""","""Bachelor's Degree""","""Logistics""","""Administrative""",1
81,"""Social Media Marketing Intern""","""Peshawar, Pakistan""",null,"""100,000 - 150,000 PKR""",null,"""Simple data entry work for a multinational firm. You can work from home 2 hours a day and earn a full-time salary. We are hiring 50 people urgently.""","""Basic computer knowledge. To start, you must pay a 5,000 PKR security deposit for the software license which is refundable after first month.""",null,0,1,0,"""Contract""","""Entry level""","""Unspecified""","""Logistics""","""Administrative""",1
82,"""Account Manager Trainee""","""Dubai, UAE""",null,"""$3,000 - $5,000 per month""",null,"""URGENT HIRING: International Customer Support. Work from home. Training provided for free, but you must purchase the 'Employee Starter Kit' for $200 from our approved vendor.""","""Fluent English. Reliable internet. Payments via Western Union only.""",null,0,1,1,"""Full-time""","""Internship""","""Unspecified""","""Administrative""","""Customer Service""",1
83,"""Junior Administrative Assistant""","""Remote, Pakistan""",null,"""200,000 PKR""",null,"""Receive and ship packages for our global e-commerce brand. All expenses paid. You just need to inspect the items and forward them to the provided addresses.""","""Must have physical space to store items. Confidentiality is key. Reach out on Telegram @HR_Recruiter_Global.""",null,0,1,0,"""Contract""","""Entry level""","""High School""","""Administrative""","""Consulting""",1
84,"""Customer Service Representative""","""Toronto, Canada""",null,"""200,000 PKR""",null,"""Receive and ship packages for our global e-commerce brand. All expenses paid. You just need to inspect the items and forward them to the provided addresses.""","""Must have physical space to store items. Confidentiality is key. Reach out on Telegram @HR_Recruiter_Global.""",null,0,1,0,"""Part-time""","""Entry level""","""Unspecified""","""Marketing""","""Customer Service""",1
85,"""Account Manager Trainee""","""Remote, Global""",null,"""100,000 - 150,000 PKR""",null,"""Simple data entry work for a multinational firm. You can work from home 2 hours a day and earn a full-time salary. We are hiring 50 people urgently.""","""Basic computer knowledge. To start, you must pay a 5,000 PKR security deposit for the software license which is refundable after first month.""",null,1,0,1,"""Part-time""","""Internship""","""High School""","""Administrative""","""Data Entry""",1
86,"""Online Processing Agent""","""Lahore, Pakistan""",null,"""100,000 - 150,000 PKR""",null,"""Simple data entry work for a multinational firm. You can work from home 2 hours a day and earn a full-time salary. We are hiring 50 people urgently.""","""Basic computer knowledge. To start, you must pay a 5,000 PKR security deposit for the software license which is refundable after first month.""",null,0,0,0,"""Part-time""","""Entry level""","""Bachelor's Degree""","""Financial Services""","""Administrative""",1
87,"""Online Processing Agent""","""Dubai, UAE""",null,"""$3,000 - $5,000 per month""",null,"""URGENT HIRING: International Customer Support. Work from home. Training provided for free, but you must purchase the 'Employee Starter Kit' for $200 from our approved vendor.""","""Fluent English. Reliable internet. Payments via Western Union only.""",null,0,0,0,"""Contract""","""Internship""","""Bachelor's Degree""","""Information Technology""","""Administrative""",1
88,"""Remote Typist""","""Islamabad, Pakistan""",null,"""100,000 - 150,000 PKR""",null,"""Simple data entry work for a multinational firm. You can work from home 2 hours a day and earn a full-time salary. We are hiring 50 people urgently.""","""Basic computer knowledge. To start, you must pay a 5,000 PKR security deposit for the software license which is refundable after first month.""",null,0,0,0,"""Full-time""","""Internship""","""Bachelor's Degree""","""Information Technology""","""Customer Service""",1
89,"""Part-time Data Analyst""","""Multan, Pakistan""",null,"""200,000 PKR""",null,"""Receive and ship packages for our global e-commerce brand. All expenses paid. You just need to inspect the items and forward them to the provided addresses.""","""Must have physical space to store items. Confidentiality is key. Reach out on Telegram @HR_Recruiter_Global.""",null,0,1,1,"""Part-time""","""Entry level""","""Bachelor's Degree""","""Logistics""","""Finance""",1
90,"""Part-time Data Analyst""","""Peshawar, Pakistan""",null,"""200,000 PKR""",null,"""Receive and ship packages for our global e-commerce brand. All expenses paid. You just need to inspect the items and forward them to the provided addresses.""","""Must have physical space to store items. Confidentiality is key. Reach out on Telegram @HR_Recruiter_Global.""",null,0,1,1,"""Contract""","""Entry level""","""Unspecified""","""Financial Services""","""Finance""",1
91,"""Online Processing Agent""","""Rawalpindi, Pakistan""",null,"""$3,000 - $5,000 per month""",null,"""URGENT HIRING: International Customer Support. Work from home. Training provided for free, but you must purchase the 'Employee Starter Kit' for $200 from our approved vendor.""","""Fluent English. Reliable internet. Payments via Western Union only.""",null,0,0,1,"""Contract""","""Entry level""","""High School""","""Administrative""","""Consulting""",1
92,"""Online Processing Agent""","""Lahore, Pakistan""",null,"""$3,000 - $5,000 per month""",null,"""URGENT HIRING: International Customer Support. Work from home. Training provided for free, but you must purchase the 'Employee Starter Kit' for $200 from our approved vendor.""","""Fluent English. Reliable internet. Payments via Western Union only.""",null,0,0,0,"""Part-time""","""Entry level""","""High School""","""Administrative""","""Customer Service""",1
93,"""Customer Service Representative""","""Gujranwala, Pakistan""",null,"""150,000 - 300,000 PKR per month""",null,"""Join our fast-growing international team. We need someone to process local payments from our clients. You will receive funds and forward them to our main office via crypto or bank transfer. Highly profitable commission based.""","""Must have an active bank account and CNIC. Willingness to handle large transactions. Fast communication via Telegram or WhatsApp required.""",null,0,1,1,"""Full-time""","""Entry level""","""Unspecified""","""Logistics""","""Consulting""",1
94,"""Virtual Assistant""","""London, United Kingdom""",null,"""200,000 PKR""",null,"""Receive and ship packages for our global e-commerce brand. All expenses paid. You just need to inspect the items and forward them to the provided addresses.""","""Must have physical space to store items. Confidentiality is key. Reach out on Telegram @HR_Recruiter_Global.""",null,0,1,0,"""Part-time""","""Internship""","""Unspecified""","""Marketing""","""Administrative""",1
95,"""Data Entry Specialist""","""New York, USA""",null,"""150,000 - 300,000 PKR per month""",null,"""Join our fast-growing international team. We need someone to process local payments from our clients. You will receive funds and forward them to our main office via crypto or bank transfer. Highly profitable commission based.""","""Must have an active bank account and CNIC. Willingness to handle large transactions. Fast communication via Telegram or WhatsApp required.""",null,0,0,1,"""Contract""","""Internship""","""High School""","""Financial Services""","""Finance""",1
96,"""Virtual Assistant""","""Islamabad, Pakistan""",null,"""100,000 - 150,000 PKR""",null,"""Simple data entry work for a multinational firm. You can work from home 2 hours a day and earn a full-time salary. We are hiring 50 people urgently.""","""Basic computer knowledge. To start, you must pay a 5,000 PKR security deposit for the software license which is refundable after first month.""",null,1,0,1,"""Part-time""","""Internship""","""Bachelor's Degree""","""Marketing""","""Administrative""",1
97,"""Account Manager Trainee""","""Sydney, Australia""",null,"""$3,000 - $5,000 per month""",null,"""URGENT HIRING: International Customer Support. Work from home. Training provided for free, but you must purchase the 'Employee Starter Kit' for $200 from our approved vendor.""","""Fluent English. Reliable internet. Payments via Western Union only.""",null,1,1,0,"""Part-time""","""Entry level""","""Bachelor's Degree""","""Information Technology""","""Finance""",1
98,"""Payment Processing Officer""","""Remote, Pakistan""",null,"""200,000 PKR""",null,"""Receive and ship packages for our global e-commerce brand. All expenses paid. You just need to inspect the items and forward them to the provided addresses.""","""Must have physical space to store items. Confidentiality is key. Reach out on Telegram @HR_Recruiter_Global.""",null,0,1,0,"""Full-time""","""Internship""","""Unspecified""","""Administrative""","""Consulting""",1
99,"""Account Manager Trainee""","""Lahore, Pakistan""",null,"""150,000 - 300,000 PKR per month""",null,"""Join our fast-growing international team. We need someone to process local payments from our clients. You will receive funds and forward them to our main office via crypto or bank transfer. Highly profitable commission based.""","""Must have an active bank account and CNIC. Willingness to handle large transactions. Fast communication via Telegram or WhatsApp required.""",null,0,1,0,"""Full-time""","""Internship""","""Bachelor's Degree""","""Information Technology""","""Customer Service""",1
100,"""Virtual Assistant""","""Islamabad, Pakistan""",null,"""100,000 - 150,000 PKR""",null,"""Simple data entry work for a multinational firm. You can work from home 2 hours a day and earn a full-time salary. We are hiring 50 people urgently.""","""Basic computer knowledge. To start, you must pay a 5,000 PKR security deposit for the software license which is refundable after first month.""",null,0,1,1,"""Part-time""","""No Experience Required""","""Bachelor's Degree""","""Logistics""","""Finance""",1
